term,estimate
actually,-0.00647990766924953
again,0.015726762459908672
ago,0.012648851974309547
all,0.022050764649847458
alone,0.040354974660134484
also,-0.04697249724919941
always,0.013826098643593108
and,0.10656123713903169
another,-0.005749809465851812
anymore,0.07339244045672207
anyone,-0.0031230147009802633
anything,0.020520469219836694
around,0.01808852809799813
away,0.01169904988054661
back,0.00026433461586298514
bad,0.006822189234391415
be,0.017699945699170317
best,-0.017679217142771795
better,0.015792498679302235
but,0.009442789178506519
can,0.08941251504536682
cant,0.03863164038987448
care,0.021384043292420572
come,-0.011843515708426336
could,0.008641099141285963
day,-0.001572912946344318
days,0.02189502166571752
depression,0.16374278633213732
die,0.0925766091308039
disorder,0.06884938681266389
do,0.01572398735289999
done,0.027865655711034318
dont,0.010710947671369889
else,0.023310782154967253
end,0.04163133272892397
enough,0.03068424032208702
even,0.01654689174758856
ever,0.0003500006887368877
every,0.01827138683961171
everyone,0.025222580370504802
everything,0.03738751240273055
family,0.03121096054165037
feel,0.09579893075731671
feeling,0.0443142969744924
feels,0.04105432935953692
find,0.002952014888691049
first,-0.04070115941609675
for,0.004845597750823477
friend,0.0002225672948820503
friends,0.0051722563479181406
fuck,0.008568105590884615
fucking,0.02956799575397455
get,-0.0032483430578012207
getting,0.006911554233442114
give,-0.0037661953403625324
go,0.02012644340107958
going,0.04744334044374046
good,-0.043164706930643226
got,-0.02102320987650284
happy,0.010583838229116023
hard,0.018175349508832102
hate,0.020908842569065167
have,0.22422575802738898
help,0.028305909176391166
hope,0.023767493722290953
ill,0.01864732286039949
im,0.026704483268126415
in,0.05419366901282872
is,0.05857825108442385
it,0.023563127932879124
ive,0.030774762359386386
job,0.03597967153644894
just,-0.07391359201601612
keep,0.01877970116116107
kill,0.10661063837619289
know,0.023786475460741835
last,0.0248962562024499
life,0.08358418332339138
like,-0.02836076987191826
little,-0.019122046747665662
live,0.03628699878627203
living,0.07022174646272558
long,0.008822726984931292
lost,0.020734243640807268
lot,-0.011076662073016321
love,-0.008987119808896124
made,-0.022606121342305344
make,-0.01317842460374846
makes,-0.028965930621796167
many,-0.021027093687060388
maybe,-0.0038687862394656664
me,0.07435963844930772
might,0.0020636179972934677
mind,0.022611536587067434
months,0.011729968201024734
much,0.01180112051141008
my,0.06735197165972352
myself,0.05137215800947254
need,0.009392166179156156
never,0.02176633551976118
new,-0.02927274130891724
no,0.044432281319978374
not,0.019204867558137523
nothing,0.029682238051267854
now,0.022509834196560892
of,0.08294613741152312
old,-0.023336677993177596
on,0.0310787965145209
one,-0.034963393699685985
out,0.02351102943224664
pain,0.049497946195931286
parents,0.003610689053995239
people,-0.0033004209339048737
person,0.0180403732998249
point,0.027203753196716706
probably,-0.006968692711265427
really,-0.010974935050855564
reason,0.027366011936897746
redflag,0.12223473139079755
right,0.0018363186197771326
said,-0.018210267011173793
say,-0.01430410423696645
school,-0.02856676954958254
see,-0.02642538355476108
shit,0.010983167029898874
since,0.00791370031342311
sleep,0.033437065950124994
so,0.02816523383050493
someone,0.019492097349435775
something,-0.011362730692361087
sometimes,0.011857999727238099
still,-0.00706341858536299
stop,0.01190479157939423
sure,0.007782403709576981
take,0.015353486635950174
talk,0.01417823459005862
tell,0.00664948054034025
that,0.037561269048347334
thats,-0.026753968341671985
the,0.07503459567515129
them,0.010316920863026944
there,0.05005082266347053
thing,-0.000768221520283573
things,0.019790737808236987
think,0.009999935933794796
thinking,0.016262939326093392
this,-0.004060336139196783
though,-0.01349988427737079
thought,0.0071223658596313326
thoughts,0.0919924363893266
time,0.0006877205311130465
times,0.0020922178562890505
tired,0.0571470602410861
to,0.0594008562083589
today,-0.0022739702099260255
told,0.019875284692361037
tried,0.036249393307617915
try,0.012949535649614447
trying,0.013150735971112654
two,-0.02198393155447536
up,0.021789454561141137
used,0.011432980004314563
want,0.05979188444981709
wanted,0.0062811314146162716
way,0.0233515911888255
well,-0.036005429301880006
wish,0.04202306475220378
with,0.04075385721620489
without,-0.004133032559602995
work,0.008180972785795033
world,0.04073683076164563
worse,0.037304411262649086
would,0.02103198534589273
year,0.011035740271654843
years,0.019714523587398506
you,0.0038885917639089047
